regola,trimestri,annualizzato_netto,trimestri_positivi,ic95_basso,ic95_alto,dsr_famiglia,dsr_cumulativo,concentrazione
always-roll,23,0.0481,0.913,-0.009,0.0916,0.672,0.1984,0.595
positive-only,23,0.0675,0.957,0.0421,0.0963,1.0,0.9951,0.511
